,model,price,state
0,iPhone SE 16GB Cinza Espacial,"1.149,00",Excelente
1,iPhone SE 16GB Cinza Espacial,"1.059,00",Muito Bom
2,iPhone SE 16GB Cinza Espacial,"979,00",Bom
3,iPhone SE 16GB Cinza Espacial,,Bom - Sem Touch ID
4,Iphone 6S 16GB Cinza Espacial,"1.699,00",Excelente
5,Iphone 6S 16GB Cinza Espacial,"1.539,00",Muito Bom
6,Iphone 6S 16GB Cinza Espacial,,Bom
7,Iphone 6S 16GB Cinza Espacial,,Bom - Sem Touch ID
8,iPhone 7 32GB Ouro Rosa,"2.429,00",Excelente
9,iPhone 7 32GB Ouro Rosa,"2.379,00",Muito Bom
10,iPhone 7 32GB Ouro Rosa,"2.209,00",Bom
11,iPhone 7 32GB Ouro Rosa,"2.429,00",Excelente
12,iPhone 7 32GB Ouro Rosa,"2.379,00",Muito Bom
13,iPhone 7 32GB Ouro Rosa,"2.209,00",Bom
14,iPhone SE 16GB Prateado,,Excelente
15,iPhone SE 16GB Prateado,"1.059,00",Muito Bom
16,iPhone SE 16GB Prateado,,Bom
17,iPhone SE 16GB Prateado,"999,00",Bom - Sem Touch ID
18,iPhone 5 32GB Preto,"799,00",Excelente
19,iPhone 5 32GB Preto,"739,00",Muito Bom
20,iPhone 5 32GB Preto,"659,00",Bom
21,iPhone 6 16GB Prateado,"1.379,00",Excelente
22,iPhone 6 16GB Prateado,"1.259,00",Muito Bom
23,iPhone 6 16GB Prateado,"1.129,00",Bom
24,iPhone 6 16GB Prateado,,Bom - Sem Touch ID
25,iPhone 5C 16GB Azul,,Excelente
26,iPhone 5C 16GB Azul,"569,00",Muito Bom
27,iPhone 5C 16GB Azul,,Bom
28,iPhone 5 32GB Branco,,Excelente
29,iPhone 5 32GB Branco,"739,00",Muito Bom
30,iPhone 5 32GB Branco,,Bom
31,iPhone 5C 16GB Rosa,,Excelente
32,iPhone 5C 16GB Rosa,"569,00",Muito Bom
33,iPhone 5C 16GB Rosa,,Bom
34,iPhone 7 128GB Dourado,,Excelente
35,iPhone 7 128GB Dourado,"2.639,00",Muito Bom
36,iPhone 7 128GB Dourado,"2.449,00",Bom
37,iPhone 6S 128GB Prateado,"2.029,00",Excelente
38,iPhone 6S 128GB Prateado,,Muito Bom
39,iPhone 6S 128GB Prateado,"1.759,00",Bom
40,iPhone 6S 128GB Prateado,"1.289,00",Bom - Sem Touch ID
41,iPhone 6S 64GB Cinza Espacial,"1.949,00",Excelente
42,iPhone 6S 64GB Cinza Espacial,,Muito Bom
43,iPhone 6S 64GB Cinza Espacial,"1.649,00",Bom
44,iPhone 6S 64GB Cinza Espacial,"1.289,00",Bom - Sem Touch ID
45,iPhone 5S 64GB Cinza Espacial,,Excelente
46,iPhone 5S 64GB Cinza Espacial,"1.129,00",Muito Bom
47,iPhone 5S 64GB Cinza Espacial,,Bom
48,iPhone 5S 64GB Cinza Espacial,,Bom - Sem Touch ID
49,iPhone 7 Plus 128GB Prateado,"3.229,00",Excelente
50,iPhone 7 Plus 128GB Prateado,"3.199,00",Muito Bom
51,iPhone 7 Plus 128GB Prateado,,Bom
52,iPhone 7 Plus 128GB Prateado,"3.229,00",Excelente
53,iPhone 7 Plus 128GB Prateado,"3.199,00",Muito Bom
54,iPhone 7 Plus 128GB Prateado,,Bom
55,iPhone 5 16GB Branco,"649,00",Excelente
56,iPhone 5 16GB Branco,"599,00",Muito Bom
57,iPhone 5 16GB Branco,"529,00",Bom
58,iPhone SE 64GB Ouro Rosa,,Excelente
59,iPhone SE 64GB Ouro Rosa,"1.299,00",Muito Bom
60,iPhone SE 64GB Ouro Rosa,,Bom
61,iPhone SE 64GB Ouro Rosa,,Bom - Sem Touch ID
62,iPhone SE 64GB Ouro Rosa,,Excelente
63,iPhone SE 64GB Ouro Rosa,"1.299,00",Muito Bom
64,iPhone SE 64GB Ouro Rosa,,Bom
65,iPhone SE 64GB Ouro Rosa,,Bom - Sem Touch ID
66,iPhone 7 Plus 32GB Dourado,,Excelente
67,iPhone 7 Plus 32GB Dourado,"2.799,00",Muito Bom
68,iPhone 7 Plus 32GB Dourado,,Bom
69,Iphone 6 Plus 16GB Cinza Espacial,"1.699,00",Excelente
70,Iphone 6 Plus 16GB Cinza Espacial,"1.599,00",Muito Bom
71,Iphone 6 Plus 16GB Cinza Espacial,,Bom
72,Iphone 6 Plus 16GB Cinza Espacial,"1.699,00",Bom - Sem Touch ID
73,iPhone 7 128GB Ouro Rosa,,Excelente
74,iPhone 7 128GB Ouro Rosa,"2.639,00",Muito Bom
75,iPhone 7 128GB Ouro Rosa,"2.449,00",Bom
76,iPhone 6 128GB Dourado,"1.839,00",Excelente
77,iPhone 6 128GB Dourado,,Muito Bom
78,iPhone 6 128GB Dourado,,Bom
79,iPhone 6 128GB Dourado,,Bom - Sem Touch ID
80,iPhone 7 32GB Dourado,,Excelente
81,iPhone 7 32GB Dourado,"2.379,00",Muito Bom
82,iPhone 7 32GB Dourado,,Bom
83,iPhone 5C 8GB Rosa,,Excelente
84,iPhone 5C 8GB Rosa,"489,00",Muito Bom
85,iPhone 5C 8GB Rosa,,Bom
86,iPhone 6 128GB Prateado,,Excelente
87,iPhone 6 128GB Prateado,"1.659,00",Muito Bom
88,iPhone 6 128GB Prateado,"1.499,00",Bom
89,iPhone 6 128GB Prateado,,Bom - Sem Touch ID
90,iPhone 7 32GB Prateado,,Excelente
91,iPhone 7 32GB Prateado,"2.379,00",Muito Bom
92,iPhone 7 32GB Prateado,,Bom
93,iPhone SE 16GB Dourado,,Excelente
94,iPhone SE 16GB Dourado,"1.059,00",Muito Bom
95,iPhone SE 16GB Dourado,,Bom
96,iPhone SE 16GB Dourado,,Bom - Sem Touch ID
97,iPhone SE 16GB Dourado,,Excelente
98,iPhone SE 16GB Dourado,"1.059,00",Muito Bom
99,iPhone SE 16GB Dourado,,Bom
100,iPhone SE 16GB Dourado,,Bom - Sem Touch ID
101,iPhone 7 256GB Preto Matte,,Excelente
102,iPhone 7 256GB Preto Matte,"2.799,00",Muito Bom
103,iPhone 7 256GB Preto Matte,,Bom
104,iPhone 7 256GB Preto Matte,,Excelente
105,iPhone 7 256GB Preto Matte,"2.799,00",Muito Bom
106,iPhone 7 256GB Preto Matte,,Bom
107,iPhone 5S 64GB Dourado,,Excelente
108,iPhone 5S 64GB Dourado,"1.129,00",Muito Bom
109,iPhone 5S 64GB Dourado,,Bom
110,iPhone 5S 64GB Dourado,,Bom - Sem Touch ID
111,iPhone 7 Plus 32GB Preto Matte,"2.869,00",Excelente
112,iPhone 7 Plus 32GB Preto Matte,"2.799,00",Muito Bom
113,iPhone 7 Plus 32GB Preto Matte,,Bom
114,iPhone 7 256GB Dourado,,Excelente
115,iPhone 7 256GB Dourado,"2.799,00",Muito Bom
116,iPhone 7 256GB Dourado,,Bom
117,iPhone 7 256GB Dourado,,Excelente
118,iPhone 7 256GB Dourado,"2.799,00",Muito Bom
119,iPhone 7 256GB Dourado,,Bom
120,iPhone 5C 16GB Branco,,Excelente
121,iPhone 5C 16GB Branco,"569,00",Muito Bom
122,iPhone 5C 16GB Branco,"499,00",Bom
123,iPhone 6S 16GB Ouro Rosa,,Excelente
124,iPhone 6S 16GB Ouro Rosa,,Muito Bom
125,iPhone 6S 16GB Ouro Rosa,"1.429,00",Bom
126,iPhone 6S 16GB Ouro Rosa,,Bom - Sem Touch ID
127,Iphone 6 Plus 64GB Dourado,,Excelente
128,Iphone 6 Plus 64GB Dourado,"1.759,00",Muito Bom
129,Iphone 6 Plus 64GB Dourado,,Bom
130,Iphone 6 Plus 64GB Dourado,"1.759,00",Bom - Sem Touch ID
131,iPhone 7 128GB Preto Matte,,Excelente
132,iPhone 7 128GB Preto Matte,"2.639,00",Muito Bom
133,iPhone 7 128GB Preto Matte,"2.449,00",Bom
134,iPhone 5S 32GB Prateado,,Excelente
135,iPhone 5S 32GB Prateado,"879,00",Muito Bom
136,iPhone 5S 32GB Prateado,"779,00",Bom
137,iPhone 5S 32GB Prateado,,Bom - Sem Touch ID
138,iPhone 7 Plus 128GB Ouro Rosa,,Excelente
139,iPhone 7 Plus 128GB Ouro Rosa,"3.199,00",Muito Bom
140,iPhone 7 Plus 128GB Ouro Rosa,,Bom
141,iPhone 6S Plus 64GB Cinza Espacial,"2.249,00",Excelente
142,iPhone 6S Plus 64GB Cinza Espacial,,Muito Bom
143,iPhone 6S Plus 64GB Cinza Espacial,"1.929,00",Bom
144,iPhone 6S Plus 64GB Cinza Espacial,"2.249,00",Bom - Sem Touch ID
145,iPhone 7 128GB Vermelho,"2.699,00",Excelente
146,iPhone 7 128GB Vermelho,"2.639,00",Muito Bom
147,iPhone 7 128GB Vermelho,,Bom
148,iPhone 5S 32GB Cinza Espacial,"949,00",Excelente
149,iPhone 5S 32GB Cinza Espacial,"879,00",Muito Bom
150,iPhone 5S 32GB Cinza Espacial,"779,00",Bom
151,iPhone 5S 32GB Cinza Espacial,,Bom - Sem Touch ID
152,iPhone 6S 64GB Cinza Espacial,"1.949,00",Excelente
153,iPhone 6S 64GB Cinza Espacial,,Muito Bom
