,model,price,state
0,LG G6 32GB Astro Black,,Excelente
1,LG G6 32GB Astro Black,"1.549,00",Muito Bom
2,LG G6 32GB Astro Black,,Bom
3,LG G6 32GB Astro Black,,Excelente
4,LG G6 32GB Astro Black,"1.549,00",Muito Bom
5,LG G6 32GB Astro Black,,Bom
6,LG G3 D855 Preto,"629,00",Excelente
7,LG G3 D855 Preto,,Muito Bom
8,LG G3 D855 Preto,"469,00",Bom
9,LG G4 H818P Titânio,,Excelente
10,LG G4 H818P Titânio,"789,00",Muito Bom
11,LG G4 H818P Titânio,,Bom
12,LG G3 Beat D724 Dourado,,Excelente
13,LG G3 Beat D724 Dourado,"429,00",Muito Bom
14,LG G3 Beat D724 Dourado,,Bom
15,LG G4 H818P Dourado,,Excelente
16,LG G4 H818P Dourado,"739,00",Muito Bom
17,LG G4 H818P Dourado,,Bom
18,LG G6 64GB Platinum,"1.729,00",Excelente
19,LG G6 64GB Platinum,,Muito Bom
20,LG G6 64GB Platinum,,Bom
21,LG G6 64GB Platinum,"1.729,00",Excelente
22,LG G6 64GB Platinum,,Muito Bom
23,LG G6 64GB Platinum,,Bom
24,LG G3 Beat D724 Branco,"479,00",Excelente
25,LG G3 Beat D724 Branco,,Muito Bom
26,LG G3 Beat D724 Branco,,Bom
27,LG Nexus 5 D821 Branco,,Excelente
28,LG Nexus 5 D821 Branco,"499,00",Muito Bom
29,LG Nexus 5 D821 Branco,,Bom
