,model,price,state
0,Motorola Moto X Style 32GB Branco Bambu,"989,00",Excelente
1,Motorola Moto X Style 32GB Branco Bambu,"909,00",Muito Bom
2,Motorola Moto X Style 32GB Branco Bambu,"869,00",Bom
3,Motorola Moto G5 Ouro,"629,00",Excelente
4,Motorola Moto G5 Ouro,"599,00",Muito Bom
5,Motorola Moto G5 Ouro,,Bom
6,Motorola Moto X Play 32GB 4G Dual Branco,"799,00",Excelente
7,Motorola Moto X Play 32GB 4G Dual Branco,,Muito Bom
8,Motorola Moto X Play 32GB 4G Dual Branco,,Bom
9,Motorola Moto G4 Plus Branco,"619,00",Excelente
10,Motorola Moto G4 Plus Branco,,Muito Bom
11,Motorola Moto G4 Plus Branco,,Bom
12,Motorola Moto X Style 32GB Branco,,Excelente
13,Motorola Moto X Style 32GB Branco,"909,00",Muito Bom
14,Motorola Moto X Style 32GB Branco,,Bom
15,Motorola Moto G4 Play DTV Dourado,"499,00",Excelente
16,Motorola Moto G4 Play DTV Dourado,"459,00",Muito Bom
17,Motorola Moto G4 Play DTV Dourado,,Bom
18,Motorola Moto X Style 32GB Branco Dourado,"989,00",Excelente
19,Motorola Moto X Style 32GB Branco Dourado,"909,00",Muito Bom
20,Motorola Moto X Style 32GB Branco Dourado,"889,00",Bom
21,Motorola Moto G3 16GB 4G Dual HDTV Branco,,Excelente
22,Motorola Moto G3 16GB 4G Dual HDTV Branco,"409,00",Muito Bom
23,Motorola Moto G3 16GB 4G Dual HDTV Branco,,Bom
24,Motorola Moto G4 DTV Preto,"489,00",Excelente
25,Motorola Moto G4 DTV Preto,,Muito Bom
26,Motorola Moto G4 DTV Preto,,Bom
27,Motorola Moto X Style 32GB Preto,"1.019,00",Excelente
28,Motorola Moto X Style 32GB Preto,"879,00",Muito Bom
29,Motorola Moto X Style 32GB Preto,"869,00",Bom
30,Motorola Moto X Force 64GB Preto,,Excelente
31,Motorola Moto X Force 64GB Preto,,Muito Bom
32,Motorola Moto X Force 64GB Preto,"1.019,00",Bom
33,Motorola Moto G4 Plus Preto Vermelho,"619,00",Excelente
34,Motorola Moto G4 Plus Preto Vermelho,"559,00",Muito Bom
35,Motorola Moto G4 Plus Preto Vermelho,,Bom
36,Motorola Moto Maxx 64GB,"929,00",Excelente
37,Motorola Moto Maxx 64GB,"699,00",Muito Bom
38,Motorola Moto Maxx 64GB,,Bom
39,Motorola Moto G5 Plus Ouro,,Excelente
40,Motorola Moto G5 Plus Ouro,"709,00",Muito Bom
41,Motorola Moto G5 Plus Ouro,,Bom
42,Motorola Moto G3 16GB 4G Dual Preto,"439,00",Excelente
43,Motorola Moto G3 16GB 4G Dual Preto,,Muito Bom
44,Motorola Moto G3 16GB 4G Dual Preto,"369,00",Bom
45,Motorola Moto G3 16GB 4G Dual Preto,"439,00",Excelente
46,Motorola Moto G3 16GB 4G Dual Preto,,Muito Bom
47,Motorola Moto G3 16GB 4G Dual Preto,"369,00",Bom
48,Motorola Moto Z Power Edition Preto,,Excelente
49,Motorola Moto Z Power Edition Preto,"1.739,00",Muito Bom
50,Motorola Moto Z Power Edition Preto,,Bom
51,Motorola Moto X Play 16GB 4G Dual Preto,,Excelente
52,Motorola Moto X Play 16GB 4G Dual Preto,,Muito Bom
53,Motorola Moto X Play 16GB 4G Dual Preto,"569,00",Bom
