,model,price,state
0,Samsung Galaxy S5 New Edition Duos Preto,,Excelente
1,Samsung Galaxy S5 New Edition Duos Preto,"599,00",Muito Bom
2,Samsung Galaxy S5 New Edition Duos Preto,"569,00",Bom
3,Samsung Galaxy S8 Ametista,"2.099,00",Excelente
4,Samsung Galaxy S8 Ametista,"1.989,00",Muito Bom
5,Samsung Galaxy S8 Ametista,"1.889,00",Bom
6,Samsung Galaxy S8 Plus 64GB Ametista,"2.249,00",Excelente
7,Samsung Galaxy S8 Plus 64GB Ametista,"2.129,00",Muito Bom
8,Samsung Galaxy S8 Plus 64GB Ametista,"2.009,00",Bom
9,Samsung Galaxy S4 i9515 Branco,,Excelente
10,Samsung Galaxy S4 i9515 Branco,"409,00",Muito Bom
11,Samsung Galaxy S4 i9515 Branco,,Bom
12,Samsung Galaxy S8 Plus 64GB Preto,"2.249,00",Excelente
13,Samsung Galaxy S8 Plus 64GB Preto,"2.129,00",Muito Bom
14,Samsung Galaxy S8 Plus 64GB Preto,"2.009,00",Bom
15,Samsung Galaxy S7 Edge 32GB Dourado,"1.479,00",Excelente
16,Samsung Galaxy S7 Edge 32GB Dourado,"1.379,00",Muito Bom
17,Samsung Galaxy S7 Edge 32GB Dourado,"1.289,00",Bom
18,Samsung Galaxy S5 New Edition Duos Prata,,Excelente
19,Samsung Galaxy S5 New Edition Duos Prata,"599,00",Muito Bom
20,Samsung Galaxy S5 New Edition Duos Prata,"569,00",Bom
21,Samsung Galaxy S8 Prata,"2.099,00",Excelente
22,Samsung Galaxy S8 Prata,"1.989,00",Muito Bom
23,Samsung Galaxy S8 Prata,"1.889,00",Bom
24,Samsung Galaxy S8 Prata,"2.099,00",Excelente
25,Samsung Galaxy S8 Prata,"1.989,00",Muito Bom
26,Samsung Galaxy S8 Prata,"1.889,00",Bom
27,Samsung Galaxy E7 Preto,"609,00",Excelente
28,Samsung Galaxy E7 Preto,"519,00",Muito Bom
29,Samsung Galaxy E7 Preto,,Bom
30,Samsung Galaxy E7 Preto,"609,00",Excelente
31,Samsung Galaxy E7 Preto,"519,00",Muito Bom
32,Samsung Galaxy E7 Preto,,Bom
33,Samsung Galaxy A5 2017 Dourado,"899,00",Excelente
34,Samsung Galaxy A5 2017 Dourado,"789,00",Muito Bom
35,Samsung Galaxy A5 2017 Dourado,,Bom
36,Samsung Galaxy J5 2016 Metal Dourado,"559,00",Excelente
37,Samsung Galaxy J5 2016 Metal Dourado,"529,00",Muito Bom
38,Samsung Galaxy J5 2016 Metal Dourado,"499,00",Bom
39,Samsung Galaxy J5 16GB Dourado,"489,00",Excelente
40,Samsung Galaxy J5 16GB Dourado,"449,00",Muito Bom
41,Samsung Galaxy J5 16GB Dourado,"399,00",Bom
42,Samsung Galaxy J7 Branco,"569,00",Excelente
43,Samsung Galaxy J7 Branco,"529,00",Muito Bom
44,Samsung Galaxy J7 Branco,"499,00",Bom
45,Samsung Galaxy S9 128GB Ultravioleta,,Excelente
46,Samsung Galaxy S9 128GB Ultravioleta,"3.169,00",Muito Bom
47,Samsung Galaxy S9 128GB Ultravioleta,,Bom
48,Samsung Galaxy S9 128GB Ultravioleta,,Bom - Sem Touch ID
49,Samsung Galaxy S9 128GB Ultravioleta,,Novo
50,Samsung Galaxy Note 5 Prata,"1.339,00",Excelente
51,Samsung Galaxy Note 5 Prata,"1.219,00",Muito Bom
52,Samsung Galaxy Note 5 Prata,"1.059,00",Bom
53,Samsung Galaxy Note 5 Prata,"1.339,00",Bom - Sem Touch ID
54,Samsung Galaxy S8 Plus 128GB Preto,,Excelente
55,Samsung Galaxy S8 Plus 128GB Preto,"2.569,00",Muito Bom
56,Samsung Galaxy S8 Plus 128GB Preto,,Bom
57,Samsung Galaxy J5 2016 Metal Branco,"559,00",Excelente
58,Samsung Galaxy J5 2016 Metal Branco,"529,00",Muito Bom
59,Samsung Galaxy J5 2016 Metal Branco,"499,00",Bom
60,Samsung Galaxy S9 Plus 128GB Preto,"3.519,00",Excelente
61,Samsung Galaxy S9 Plus 128GB Preto,,Muito Bom
62,Samsung Galaxy S9 Plus 128GB Preto,,Bom
63,Samsung Galaxy S9 Plus 128GB Preto,,Bom - Sem Touch ID
64,Samsung Galaxy S9 Plus 128GB Preto,,Novo
65,Samsung Galaxy Note 5 Preto,"1.339,00",Excelente
66,Samsung Galaxy Note 5 Preto,"1.219,00",Muito Bom
67,Samsung Galaxy Note 5 Preto,"1.059,00",Bom
68,Samsung Galaxy Note 5 Preto,"1.339,00",Bom - Sem Touch ID
69,Samsung Galaxy Note 4 Branco,"989,00",Excelente
70,Samsung Galaxy Note 4 Branco,"769,00",Muito Bom
71,Samsung Galaxy Note 4 Branco,"709,00",Bom
72,Samsung Galaxy S9 Plus 128GB Cinza,"3.519,00",Excelente
73,Samsung Galaxy S9 Plus 128GB Cinza,"3.349,00",Muito Bom
74,Samsung Galaxy S9 Plus 128GB Cinza,"3.189,00",Bom
75,Samsung Galaxy S9 Plus 128GB Cinza,,Bom - Sem Touch ID
76,Samsung Galaxy S9 Plus 128GB Cinza,,Novo
77,Samsung Galaxy S4 Mini Duos Preto,,Excelente
78,Samsung Galaxy S4 Mini Duos Preto,,Muito Bom
79,Samsung Galaxy S4 Mini Duos Preto,"289,00",Bom
80,Samsung Galaxy A3 2016 Preto,,Excelente
