,model,price,state
0,iPhone SE 16GB Cinza Espacial,1149.0,Excelente
1,iPhone SE 16GB Cinza Espacial,1059.0,Muito Bom
2,iPhone SE 16GB Cinza Espacial,979.0,Bom
3,iPhone SE 16GB Cinza Espacial,1062.33,Bom - Sem Touch ID
4,Iphone 6S 16GB Cinza Espacial,1699.0,Excelente
5,Iphone 6S 16GB Cinza Espacial,1539.0,Muito Bom
6,Iphone 6S 16GB Cinza Espacial,1619.0,Bom
7,Iphone 6S 16GB Cinza Espacial,1619.0,Bom - Sem Touch ID
8,iPhone 7 32GB Ouro Rosa,2429.0,Excelente
9,iPhone 7 32GB Ouro Rosa,2379.0,Muito Bom
10,iPhone 7 32GB Ouro Rosa,2209.0,Bom
11,iPhone 7 32GB Ouro Rosa,2429.0,Excelente
12,iPhone 7 32GB Ouro Rosa,2379.0,Muito Bom
13,iPhone 7 32GB Ouro Rosa,2209.0,Bom
14,iPhone SE 16GB Prateado,1029.0,Excelente
15,iPhone SE 16GB Prateado,1059.0,Muito Bom
16,iPhone SE 16GB Prateado,1029.0,Bom
17,iPhone SE 16GB Prateado,999.0,Bom - Sem Touch ID
18,iPhone 5 32GB Preto,799.0,Excelente
19,iPhone 5 32GB Preto,739.0,Muito Bom
20,iPhone 5 32GB Preto,659.0,Bom
21,iPhone 6 16GB Prateado,1379.0,Excelente
22,iPhone 6 16GB Prateado,1259.0,Muito Bom
23,iPhone 6 16GB Prateado,1129.0,Bom
24,iPhone 6 16GB Prateado,1255.67,Bom - Sem Touch ID
25,iPhone 5C 16GB Azul,569.0,Excelente
26,iPhone 5C 16GB Azul,569.0,Muito Bom
27,iPhone 5C 16GB Azul,569.0,Bom
28,iPhone 5 32GB Branco,739.0,Excelente
29,iPhone 5 32GB Branco,739.0,Muito Bom
30,iPhone 5 32GB Branco,739.0,Bom
31,iPhone 5C 16GB Rosa,569.0,Excelente
32,iPhone 5C 16GB Rosa,569.0,Muito Bom
33,iPhone 5C 16GB Rosa,569.0,Bom
34,iPhone 7 128GB Dourado,2544.0,Excelente
35,iPhone 7 128GB Dourado,2639.0,Muito Bom
36,iPhone 7 128GB Dourado,2449.0,Bom
37,iPhone 6S 128GB Prateado,2029.0,Excelente
38,iPhone 6S 128GB Prateado,1692.33,Muito Bom
39,iPhone 6S 128GB Prateado,1759.0,Bom
40,iPhone 6S 128GB Prateado,1289.0,Bom - Sem Touch ID
