,model,price,state
0,Sony Xperia Z3 Compact Branco,,Excelente
1,Sony Xperia Z3 Compact Branco,"679,00",Muito Bom
2,Sony Xperia Z3 Compact Branco,"659,00",Bom
3,Sony Xperia Z2 Branco,,Excelente
4,Sony Xperia Z2 Branco,"619,00",Muito Bom
5,Sony Xperia Z2 Branco,,Bom
6,Sony Xperia Z5 Branco,,Excelente
7,Sony Xperia Z5 Branco,,Muito Bom
8,Sony Xperia Z5 Branco,,Bom
9,Sony Xperia Z3 TV Branco,,Excelente
10,Sony Xperia Z3 TV Branco,,Muito Bom
11,Sony Xperia Z3 TV Branco,"719,00",Bom
12,Sony Xperia Z3 Plus Verde Água,,Excelente
13,Sony Xperia Z3 Plus Verde Água,"1.089,00",Muito Bom
14,Sony Xperia Z3 Plus Verde Água,,Bom
15,Sony Xperia Z5 Preto,"1.199,00",Excelente
16,Sony Xperia Z5 Preto,"1.199,00",Muito Bom
17,Sony Xperia Z5 Preto,,Bom
18,Sony Xperia Z3 Dual Preto,,Excelente
19,Sony Xperia Z3 Dual Preto,"869,00",Muito Bom
20,Sony Xperia Z3 Dual Preto,,Bom
21,Sony Xperia Z3 Plus Cobre,"1.209,00",Excelente
22,Sony Xperia Z3 Plus Cobre,"1.209,00",Muito Bom
23,Sony Xperia Z3 Plus Cobre,,Bom
24,Sony Xperia Z5 Premium Cromo,,Excelente
25,Sony Xperia Z5 Premium Cromo,,Muito Bom
26,Sony Xperia Z5 Premium Cromo,,Bom
